"properties.billingPeriodId",count
"/subscriptions/ae4ab7c9-dcdf-4427-9729-48e8c7551be9/providers/Microsoft.Billing/billingPeriods/201907",2483
"/subscriptions/ae4ab7c9-dcdf-4427-9729-48e8c7551be9/providers/Microsoft.Billing/billingPeriods/201908",6155
"/subscriptions/ae4ab7c9-dcdf-4427-9729-48e8c7551be9/providers/Microsoft.Billing/billingPeriods/201909",5810
"/subscriptions/ae4ab7c9-dcdf-4427-9729-48e8c7551be9/providers/Microsoft.Billing/billingPeriods/201910",11579
